Dire Straits | Money For Nothing
Steely Dan | Black Friday
Edgar Winter Group | Frankenstein
Boston | More Than a Feeling
Emerson, Lake & Palmer | Take a Pebble
Robert Plant | Ship of Fools
Yes | Roundabout
Sade | Smooth Operator
Dire Straits | Telegraph Road
Kansas | Carry On Wayward Son
The Alan Parsons Project | Mammagamma
Paul Simon | Graceland
Frank Zappa | Peaches en Regalia
Pink Floyd | Money
Steely Dan | Gaucho
The Blue Nile | A Walk Across the Rooftops
Pink Floyd | Time
Depeche Mode | Halo
Sting | Englishman in New York
Donna Summer | I Feel Love
Maynard Ferguson | MacArthur Park (Studio Version)
Nils Lofgren | Keith Don’t Go
Steely Dan | Aja
Pink Floyd | Comfortably Numb
Yes | Sound Chaser
